x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.05,-0.24,0.12,1.7682889320206385,37.7118257390124,81.02561920862155,43.31379346960915,,,,,,,,,,,,,640,480
0.06,-0.24,0.12,4.036243467926468,35.19606745133599,77.04502010815916,41.84895265682317,,,,,,,,,,,,,640,480
0.07,-0.24,0.12,6.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,,,,,,,,,,,,,640,480
0.1,-0.23,0.12,13.498565675952094,30.52869048164186,69.44917753517718,38.920487053535325,,,,,,,,,,,,,640,480
0.12,-0.22,0.12,18.61045966596521,30.845047846496456,69.97272354175345,39.12767569525699,,,,,,,,,,,,,640,480
0.14,-0.21,0.12,23.690067525979785,27.646414129903256,64.62042416427091,36.974010034367666,567.0,205.0,602.0,185.0,631.0,238.0,595.0,258.0,599.0,221.0,72.00694410957877,,640,480
0.15,-0.2,0.12,26.869897645844013,31.75358835954819,71.46922979463022,39.71564143508203,553.0,190.0,586.0,169.0,618.0,219.0,584.0,241.0,585.0,204.0,71.17583859709698,,640,480
0.16,-0.19,0.12,30.100907546212234,33.94815507832919,75.04100904341297,41.09285396508378,537.0,174.0,567.0,150.0,603.0,197.0,573.0,221.0,570.0,185.0,69.8927750200262,,640,480
0.17,-0.18,0.12,33.36342295838328,34.95263530875019,76.65563066803891,41.70299535928872,522.0,157.0,550.0,130.0,590.0,175.0,560.0,201.0,556.0,166.0,70.3420215802759,,640,480
0.18,-0.17,0.12,36.63657704161671,34.95263530875019,76.65563066803891,41.70299535928872,507.0,141.0,535.0,113.0,578.0,156.0,549.0,184.0,542.0,148.0,72.56721022610694,,640,480
0.19,-0.16,0.12,39.89909245378776,33.94815507832919,75.04100904341297,41.09285396508378,493.0,128.0,519.0,98.0,564.0,137.0,538.0,168.0,528.0,132.0,71.56814934033156,,640,480
0.2,-0.15,0.12,43.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,475.0,113.0,500.0,79.0,549.0,117.0,523.0,150.0,512.0,115.0,74.10802925459562,,640,480
0.22,-0.12,0.12,51.389540334034784,30.845047846496456,69.97272354175345,39.12767569525699,439.0,90.0,460.0,55.0,512.0,84.0,491.0,121.0,475.0,87.0,73.24616030891995,,640,480
0.23,-0.1,0.12,56.501434324047906,30.52869048164186,69.44917753517718,38.920487053535325,411.0,77.0,427.0,40.0,482.0,64.0,465.0,102.0,446.0,70.0,72.18032973047436,,640,480
0.24,-0.07,0.12,63.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,371.0,65.0,383.0,26.0,440.0,43.0,428.0,83.0,405.0,54.0,72.42237223399962,,640,480
0.24,-0.06,0.12,65.96375653207352,35.19606745133599,77.04502010815916,41.84895265682317,353.0,66.0,362.0,27.0,420.0,41.0,411.0,81.0,386.0,53.0,71.5122367151245,,640,480
0.24,-0.05,0.12,68.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,336.0,66.0,342.0,28.0,401.0,38.0,394.0,78.0,368.0,52.0,70.77428911688199,,640,480
0.24,-0.04,0.12,70.53767779197437,39.59941263885652,83.96012566100063,44.36071302214412,326.0,68.0,331.0,28.0,390.0,37.0,384.0,78.0,358.0,52.0,71.11258679024411,,640,480
0.24,-0.03,0.12,72.8749836510982,40.98889311067623,86.0916434521516,45.10275034147537,311.0,69.0,314.0,28.0,374.0,35.0,370.0,76.0,342.0,52.0,71.58910531638176,,640,480
0.24,-0.02,0.12,75.23635830927383,41.94703213784924,87.54730057491714,45.6002684370679,290.0,69.0,292.0,27.0,353.0,31.0,351.0,72.0,321.0,50.0,73.57309290766564,,640,480
0.24,-0.01,0.12,77.61405596961119,42.509901495046414,88.39704037083692,45.8871388757905,278.0,70.0,278.0,30.0,337.0,30.0,339.0,71.0,307.0,50.0,71.28113354878694,,640,480
0.24,0.0,0.12,80.0,42.69567001585551,88.6766085021249,45.98093848626939,260.0,72.0,258.0,30.0,318.0,29.0,321.0,70.0,289.0,50.0,72.20110802473879,,640,480
0.24,0.01,0.12,82.38594403038881,42.509901495046414,88.39704037083692,45.8871388757905,248.0,73.0,245.0,32.0,306.0,27.0,309.0,69.0,277.0,50.0,74.02702209328699,,640,480
0.24,0.02,0.12,84.76364169072617,41.94703213784924,87.54730057491714,45.6002684370679,237.0,75.0,232.0,34.0,292.0,28.0,297.0,69.0,264.0,51.0,72.34638899074369,,640,480
0.24,0.03,0.12,87.1250163489018,40.98889311067623,86.0916434521516,45.10275034147537,219.0,78.0,211.0,38.0,271.0,27.0,279.0,69.0,245.0,52.0,72.83543093852057,,640,480
0.24,0.04,0.12,89.46232220802563,39.59941263885652,83.96012566100063,44.36071302214412,208.0,79.0,198.0,37.0,258.0,24.0,268.0,67.0,233.0,51.0,74.33034373659252,,640,480
0.24,0.05,0.12,91.76828893202065,37.7118257390124,81.02561920862155,43.31379346960915,197.0,79.0,187.0,40.0,244.0,25.0,255.0,65.0,220.0,52.0,71.58910531638176,,640,480
0.24,0.06,0.12,94.03624346792648,35.19606745133599,77.04502010815916,41.84895265682317,178.0,83.0,164.0,44.0,222.0,25.0,235.0,65.0,200.0,54.0,72.80109889280519,,640,480
0.24,0.07,0.12,96.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,168.0,82.0,155.0,45.0,209.0,26.0,224.0,62.0,188.0,54.0,69.40461079784254,,640,480
0.23,0.1,0.12,103.4985656759521,30.52869048164186,69.44917753517718,38.920487053535325,125.0,101.0,107.0,66.0,159.0,38.0,179.0,73.0,142.0,69.0,71.58910531638176,,640,480
0.22,0.12,0.12,108.61045966596521,30.845047846496456,69.97272354175345,39.12767569525699,99.0,119.0,77.0,86.0,126.0,52.0,149.0,86.0,112.0,85.0,72.2357252334328,,640,480
0.21,0.14,0.12,113.6900675259798,27.646414129903256,64.62042416427091,36.974010034367666,74.0,136.0,50.0,107.0,96.0,70.0,121.0,100.0,85.0,103.0,69.57010852370435,,640,480
0.2,0.15,0.12,116.86989764584402,31.75358835954819,71.46922979463022,39.71564143508203,68.0,148.0,43.0,120.0,86.0,81.0,112.0,110.0,77.0,114.0,69.3757882838098,,640,480
0.19,0.16,0.12,120.10090754621224,33.94815507832919,75.04100904341297,41.09285396508378,53.0,168.0,27.0,142.0,66.0,101.0,94.0,128.0,59.0,134.0,68.24954212300622,,640,480
0.18,0.17,0.12,123.3634229583833,34.95263530875019,76.65563066803891,41.70299535928872,38.0,189.0,9.0,165.0,45.0,120.0,75.0,144.0,41.0,154.0,69.35416353759881,,640,480
0.17,0.18,0.12,126.63657704161672,34.95263530875019,76.65563066803891,41.70299535928872,,,,,,,,,,,,,640,480
0.16,0.19,0.12,129.89909245378777,33.94815507832919,75.04100904341297,41.09285396508378,,,,,,,,,,,,,640,480
0.15,0.2,0.12,133.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,,,,,,,,,,,,,640,480
0.12,0.22,0.12,141.3895403340348,30.845047846496456,69.97272354175345,39.12767569525699,,,,,,,,,,,,,640,480
0.1,0.23,0.12,146.50143432404792,30.52869048164186,69.44917753517718,38.920487053535325,,,,,,,,,,,,,640,480
0.07,0.24,0.12,153.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,,,,,,,,,,,,,640,480
0.06,0.24,0.12,155.96375653207355,35.19606745133599,77.04502010815916,41.84895265682317,,,,,,,,,,,,,640,480
0.05,0.24,0.12,158.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,,,,,,,,,,,,,640,480
0.08,0.23,0.12,150.82099197418927,39.3957511582537,83.64566045464798,44.249909296394286,,,,,,,,,,,,,640,480
0.07,0.23,0.12,153.07248693585296,42.3232210621132,88.11566046688534,45.79243940477216,,,,,,,,,,,,,640,480
0.06,0.23,0.12,155.37912601136833,44.684761357058214,91.64265138016734,46.957890023109115,,,,,,,,,,,,,640,480
0.05,0.23,0.12,157.73522627210758,46.58988389273451,94.43631755781016,47.84643366507564,,,,,,,,,,,,,640,480
0.08,0.22,0.12,150.01689347810003,47.600169874557004,95.89897449168244,48.298804617125434,,,,,,,,,,,,,640,480
0.07,0.22,0.12,152.34987578006988,50.05405478864742,99.39694906527987,49.34289427663245,,,,,,,,,,,,,640,480
0.06,0.22,0.12,154.74488129694222,52.114186924153806,102.27339679989036,50.15920987573656,,,,,,,,,,,,,640,480
0.05,0.22,0.12,157.19573393471325,53.81998302307632,104.61314323018883,50.7931602071125,,,,,,,,,,,,,640,480
0.07,0.21,0.12,151.56505117707798,56.7056852390155,108.4839492322603,51.77826399324479,,,,,,,,,,,,,640,480
0.06,0.21,0.12,154.05460409907715,58.64768953603138,111.0265266284496,52.37883709241823,,,,,,,,,,,,,640,480
0.05,0.21,0.12,156.60750224624888,60.27666668172127,113.12022495664802,52.84355827492675,,,,,,,,,,,,,640,480
0.07,0.2,0.12,150.70995378081128,62.77770655973522,116.26487668937425,53.48717012963903,,,,,,,,,,,,,640,480
0.06,0.2,0.12,153.30075576600638,64.68349480271478,118.60383497722978,53.920340174515005,,,,,,,,,,,,,640,480
0.05,0.2,0.12,155.96375653207355,66.29564995849192,120.54347836915979,54.247828410667864,39.0,382.0,4.0,380.0,8.0,320.0,44.0,320.0,23.0,351.0,69.31810730249349,,640,480
0.07,0.19,0.12,149.77514056883192,68.4987990973867,123.13610137485075,54.63730227746405,,,,,,,,,,,,,640,480
0.06,0.19,0.12,152.47443162627712,70.4174211158999,125.33897041744207,54.92154930154217,,,,,,,,,,,,,640,480
0.05,0.19,0.12,155.25643716352926,72.05092299080442,127.17398351301179,55.12306052220736,,,,,,,,,,,,,640,480
0.06,0.18,0.12,151.56505117707798,75.96397379623532,131.41753867131018,55.45356487507486,,,,,,,,,,,,,640,480
0.05,0.18,0.12,154.47588900324575,77.64779647472515,133.17725543248264,55.529458957757484,,,,,,,,,,,,,640,480
0.06,0.17,0.12,150.55996517182382,81.39694562718014,136.9516808202597,55.55473519307953,,,,,,,,,,,,,640,480
0.05,0.17,0.12,153.6104596659652,83.15599205880758,138.6542090297266,55.498216970918975,,,,,,,,,,,,,640,480
0.06,0.16,0.12,149.44395478041653,86.76615186515883,142.01181052023685,55.24565865507803,,,,,,,,,,,,,640,480
0.05,0.16,0.12,152.64597536373867,88.62367714064925,143.66804214062938,55.044364999980125,,,,,,,,,,,,,640,480
0.06,0.15,0.12,148.19859051364818,92.10497830575517,146.6422365812282,54.537258275473015,,,,,,,,,,,,,640,480
0.05,0.15,0.12,151.56505117707798,94.08380395514153,148.2577740429466,54.17397008780505,,,,,,,,,,,,,640,480
0.06,0.14,0.12,146.80140948635182,97.43368320999471,150.8697462877992,53.43606307780449,,,,,,,,,,,,,640,480
