x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.05,0.15,0.12,151.56505117707798,94.08380395514153,148.2577740429466,54.17397008780505,183.0,-34.0,-3.294,-0.612,79.64923100695951
0.06,0.14,0.12,146.80140948635182,97.43368320999471,150.8697462877992,53.43606307780449,168.0,-14.0,-3.024,-0.252,78.0
0.05,0.14,0.12,150.34617594194668,99.55673522845954,152.44580322609056,52.889067997631024,165.0,-26.0,-2.97,-0.468,76.96752561957543
0.06,0.13,0.12,145.22485943116808,102.76044112817608,154.70883321324737,51.94839208507127,154.0,-18.0,-2.772,-0.324,78.54934754662193
0.05,0.13,0.12,148.9624889745782,105.05080683913772,156.24257846284698,51.19177162370925,146.0,-27.0,-2.628,-0.486,79.20227269466452
0.06,0.12,0.12,143.43494882292202,108.08108375954072,158.165291207637,50.084207448096286,134.0,-15.0,-2.412,-0.27,78.77182237323191
0.05,0.12,0.12,147.38013505195957,110.56165427596392,159.6498794523689,49.08822517640501,131.0,-24.0,-2.358,-0.432,79.30952023559341
0.06,0.11,0.12,141.3895403340348,113.3781308978084,161.23908684547888,47.860955947670476,119.0,-16.0,-2.142,-0.288,78.43468620451031
0.05,0.11,0.12,145.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,111.0,-27.0,-1.998,-0.486,78.92401408950256
0.05,0.1,0.12,143.43494882292202,121.54446694984355,165.2760867370148,43.73161978717124,97.0,-25.0,-1.746,-0.45,79.12016177940993
0.06,0.1,0.12,139.03624346792648,118.61961415120756,163.92704753857686,45.30743338736932,110.0,-9.0,-1.98,-0.162,77.62087348130012
0.07,0.1,0.12,135.00797980144134,115.32537028508844,162.27841132779272,46.953041042704285,113.0,2.0,-2.034,0.036,76.2954782408499
0.08,0.1,0.12,131.34019174590992,111.72057693828101,160.31616249362438,48.59558555534336,114.0,16.0,-2.052,0.288,76.53103945458993
0.09,0.1,0.12,128.01278750418334,107.86007569564381,158.0291339974189,50.16905830177512,121.0,27.0,-2.178,0.486,77.05841939723393
0.1,0.1,0.12,125.0,103.7921505444392,155.40834861469415,51.616198070254974,120.0,43.0,-2.16,0.774,76.10519036176179
0.09,0.11,0.12,130.71059313749964,103.3776328317195,155.12900328134117,51.751370449621675,129.0,31.0,-2.322,0.558,86.20904824900923
0.08,0.11,0.12,133.9726266148964,106.98322596997387,157.48263263254333,50.49940666256946,127.0,15.0,-2.286,0.27,79.63039620647382
0.07,0.11,0.12,137.52880770915152,110.33228740803455,159.51595664743394,49.183669239399414,121.0,3.0,-2.178,0.054,79.42921376924235
0.07,0.12,0.12,139.74356283647074,105.26283824054431,156.3810463850317,51.118208144487404,136.0,2.0,-2.448,0.036,86.83317338436964
0.08,0.12,0.12,136.30993247402023,102.14863694396979,154.28731058245563,52.13867363848584,142.0,12.0,-2.556,0.216,77.46612162745726
0.09,0.12,0.12,133.13010235415598,98.77760954436249,151.87452426188213,53.09691471751963,146.0,25.0,-2.628,0.45,76.6550715869472
0.1,0.12,0.12,130.19442890773482,95.18431288599794,149.13285255025232,53.948539664254376,152.0,37.0,-2.736,0.666,76.23647421018367
0.11,0.11,0.12,125.0,95.55463665154039,149.42357256751137,53.86893591597097,138.0,56.0,-2.484,1.008,86.09297300012354
0.12,0.1,0.12,119.8055710922652,95.18431288599794,149.13285255025232,53.948539664254376,126.0,72.0,-2.268,1.296,85.15867542417507
0.13,0.09,0.12,114.69515353123397,94.08380395514153,148.2577740429466,54.17397008780505,112.0,86.0,-2.016,1.548,75.96051605933177
0.13,0.08,0.12,111.6075022462489,97.24366133222938,150.7256931098296,53.482031777600206,105.0,86.0,-1.89,1.548,77.4919350642375
0.13,0.07,0.12,108.30075576600638,100.14660790798169,152.87285289520293,52.72624498722122,92.0,86.0,-1.656,1.548,78.18567643756751
0.13,0.06,0.12,104.77514056883192,102.76044112817608,154.70883321324737,51.94839208507127,79.0,88.0,-1.422,1.584,76.96752561957543
0.13,0.05,0.12,101.03751102542182,105.05080683913772,156.24257846284698,51.19177162370925,60.0,86.0,-1.08,1.548,77.17512552629896
0.13,0.04,0.12,97.10272896905238,106.98322596997387,157.48263263254333,50.49940666256946,53.0,85.0,-0.954,1.53,76.8505042273634
0.13,0.03,0.12,92.9946167919165,108.5252951310455,158.43702908303507,49.91173395198957,34.0,88.0,-0.612,1.584,76.69419795525604
0.13,0.02,0.12,88.7461622625552,109.64890628243701,159.11290525938568,49.463998976948666,21.0,87.0,-0.378,1.566,86.31338250816034
0.13,0.01,0.12,84.39870535499553,110.33228740803455,159.51595664743394,49.183669239399414,11.0,87.0,-0.198,1.566,76.48529270389177
0.13,0.0,0.12,80.0,110.56165427596392,159.6498794523689,49.08822517640501,2.0,88.0,-0.036,1.584,76.60939890117922
