t0,t1,t2,t3,t4,t5 
-0.49166,2.0314,-1.8338,-0.023076,0,0
-0.506,2.2661,-1.962,-0.12964,0,0
-0.42481,2.1146,-1.8839,-0.056096,0,0
-0.42481,2.1146,-1.8839,-0.056096,0,0
-0.12083,1.8072,-1.6721,0.039418,0,0
-0.023048,1.6858,-1.5679,0.056656,0,0
0.018254,1.6095,-1.4964,0.061411,0,0
0.029035,1.597,-1.4842,0.06174,0,0
0.029035,1.597,-1.4842,0.06174,0,0
-0.18583,2.0219,-1.8277,-0.019639,0,0
-0.11946,2.3198,-1.9855,-0.15976,0,0
0.17311,2.2035,-1.9318,-0.097186,0,0
0.30491,2.0757,-1.8612,-0.040032,0,0
0.30491,2.0757,-1.8612,-0.040032,0,0
0.35471,1.9964,-1.8111,-0.010748,0,0
-0.24035,2.1928,-1.9263,-0.091923,0,0
-0.63723,2.1398,-1.8981,-0.067165,0,0
-0.74641,2.0618,-1.8527,-0.034534,0,0
-0.80187,1.966,-1.7906,-0.00079728,0,0
-0.80187,1.966,-1.7906,-0.00079728,0,0
-0.80187,1.966,-1.7906,-0.00079728,0,0
-0.37613,2.016,-1.8239,-0.017538,0,0
-0.32963,2.0971,-1.8739,-0.048743,0,0
-0.61745,2.1304,-1.8929,-0.062989,0,0
-0.76657,2.0801,-1.8638,-0.041767,0,0
-0.76657,2.0801,-1.8638,-0.041767,0,0
-0.83365,2.0445,-1.8421,-0.027937,0,0
-0.67989,2.2664,-1.9621,-0.12977,0,0
-0.34218,1.9924,-1.8085,-0.0094045,0,0
-0.35904,1.7402,-1.6161,0.05039,0,0
-0.35099,1.6263,-1.5126,0.060768,0,0
-0.34926,1.604,-1.4911,0.06157,0,0
-0.34944,1.5799,-1.4674,0.061985,0,0
-0.19406,1.616,-1.5027,0.061189,0,0
-0.1465,1.6784,-1.5612,0.057325,0,0
-0.1465,1.6784,-1.5612,0.057325,0,0
-0.1465,1.6784,-1.5612,0.057325,0,0
-0.018369,1.5788,-1.4662,0.061993,0,0
-0.00024166,1.5259,-1.4126,0.061201,0,0
-0.00024166,1.5259,-1.4126,0.061201,0,0
-0.25288,1.9638,-1.7892,-0.00011954,0,0
-0.04911,2.0203,-1.8267,-0.019056,0,0
0.082492,1.8154,-1.6787,0.037832,0,0
0.19072,1.6585,-1.5429,0.058898,0,0
0.2246,1.5803,-1.4678,0.061982,0,0
0.2246,1.5803,-1.4678,0.061982,0,0
0.2246,1.5803,-1.4678,0.061982,0,0
0.13205,1.671,-1.5544,0.057949,0,0
0.04709,1.8005,-1.6666,0.040678,0,0
0.04709,1.8005,-1.6666,0.040678,0,0
-0.0093069,1.8477,-1.7042,0.031043,0,0
0.24326,1.6788,-1.5615,0.057293,0,0
0.36342,1.4678,-1.351,0.057715,0,0
0.33647,1.4779,-1.3619,0.058522,0,0
0.29681,1.5006,-1.3861,0.060021,0,0
-0.25059,2.0825,-1.8652,-0.042758,0,0
-0.61935,2.1303,-1.8928,-0.062931,0,0
-0.43706,2.1724,-1.9157,-0.082121,0,0
-0.35837,2.1722,-1.9156,-0.082046,0,0
-0.29804,2.1627,-1.9106,-0.077591,0,0
-0.29804,2.1627,-1.9106,-0.077591,0,0
-0.069232,1.8075,-1.6723,0.039356,0,0
-0.33304,1.7494,-1.6239,0.049103,0,0
-0.54319,1.7804,-1.6501,0.044241,0,0
-0.63003,1.7712,-1.6424,0.045767,0,0
-0.63003,1.7712,-1.6424,0.045767,0,0
-0.69534,1.7469,-1.6218,0.049462,0,0
-0.3384,1.8457,-1.7027,0.031481,0,0
-0.075668,1.9888,-1.8061,-0.008198,0,0
-0.20602,2.1389,-1.8976,-0.066746,0,0
-0.2565,2.1891,-1.9244,-0.09011,0,0
-0.2698,2.2063,-1.9332,-0.09855,0,0
-0.28708,2.2242,-1.9421,-0.10757,0,0
0.20754,2.2168,-1.9384,-0.10381,0,0
0.47167,2.0333,-1.835,-0.023777,0,0
0.55466,1.9098,-1.751,0.015687,0,0
0.59558,1.8645,-1.7172,0.027188,0,0
0.59558,1.8645,-1.7172,0.027188,0,0
-0.034315,2.3322,-1.9906,-0.16702,0,0
-0.43122,2.3501,-1.9978,-0.17772,0,0
-0.73675,2.2449,-1.9521,-0.1183,0,0
-0.73675,2.2449,-1.9521,-0.1183,0,0
-0.81257,2.1708,-1.9149,-0.081389,0,0
-0.81257,2.1708,-1.9149,-0.081389,0,0
-0.53707,1.8452,-1.7023,0.031592,0,0
-0.36238,1.6765,-1.5595,0.057487,0,0
-0.3669,1.7,-1.5807,0.055252,0,0
-0.38132,1.7332,-1.61,0.051328,0,0
0.046449,1.8083,-1.673,0.039206,0,0
0.28453,1.6639,-1.5479,0.058502,0,0
0.37945,1.5713,-1.4588,0.062019,0,0
0.39305,1.5627,-1.4502,0.061992,0,0
0.43794,1.521,-1.4075,0.061013,0,0
0.030409,1.7532,-1.6272,0.04855,0,0
-0.1126,1.8928,-1.7385,0.020185,0,0
0.074256,1.9514,-1.7806,0.0037098,0,0
0.18218,1.9648,-1.7899,-0.00042976,0,0
0.25607,1.9594,-1.7862,0.0012483,0,0
0.25607,1.9594,-1.7862,0.0012483,0,0
0.47271,2.0083,-1.8189,-0.014835,0,0
0.57267,2.0217,-1.8276,-0.019544,0,0
0.59076,2.0245,-1.8294,-0.020553,0,0
0.65036,2.033,-1.8348,-0.023664,0,0
-0.0077074,1.9211,-1.7591,0.012578,0,0
-0.32399,1.4277,-1.3069,0.053719,0,0
-0.27436,1.4228,-1.3014,0.05314,0,0
-0.26187,1.4192,-1.2974,0.052707,0,0
-0.26187,1.4192,-1.2974,0.052707,0,0
-0.42404,1.722,-1.6002,0.052758,0,0
-0.5284,1.8087,-1.6733,0.03913,0,0
-0.60249,1.8638,-1.7166,0.027363,0,0
-0.65167,1.8883,-1.7351,0.02136,0,0
-0.65167,1.8883,-1.7351,0.02136,0,0
-0.46712,2.0451,-1.8424,-0.028151,0,0
0.16956,2.1843,-1.922,-0.08783,0,0
0.28079,2.1567,-1.9074,-0.074837,0,0
0.32232,2.1429,-1.8998,-0.068534,0,0
0.36534,2.1244,-1.8895,-0.060349,0,0
0.33519,2.2239,-1.942,-0.10745,0,0
0.273,2.3097,-1.9812,-0.15395,0,0
0.26005,2.3285,-1.9891,-0.16487,0,0
0.20551,2.3845,-2.011,-0.19894,0,0
0.11319,2.3439,-1.9954,-0.17401,0,0
0.44241,1.8683,-1.7201,0.026279,0,0
0.56602,1.6446,-1.5299,0.05981,0,0
0.59451,1.56,-1.4475,0.061972,0,0
0.59451,1.56,-1.4475,0.061972,0,0
0.62648,1.472,-1.3556,0.058063,0,0
0.55256,1.914,-1.754,0.014546,0,0
-0.18914,2.1122,-1.8826,-0.055083,0,0
-0.33953,1.8914,-1.7375,0.020543,0,0
-0.39879,1.7693,-1.6408,0.046068,0,0
-0.41473,1.7388,-1.6149,0.050581,0,0
-0.42899,1.6983,-1.5792,0.055427,0,0
-0.2327,1.5846,-1.472,0.061942,0,0
-0.11718,1.5097,-1.3957,0.060506,0,0
-0.080486,1.487,-1.3717,0.059172,0,0
-0.080486,1.487,-1.3717,0.059172,0,0
-0.080486,1.487,-1.3717,0.059172,0,0
-0.16388,1.4681,-1.3513,0.057743,0,0
-0.20189,1.4917,-1.3767,0.059482,0,0
-0.23075,1.5085,-1.3944,0.060445,0,0
-0.23075,1.5085,-1.3944,0.060445,0,0
-0.17949,1.6428,-1.5282,0.059915,0,0
0.28554,2.056,-1.8492,-0.032309,0,0
0.57456,2.1476,-1.9024,-0.070647,0,0
0.76502,2.129,-1.8921,-0.062351,0,0
0.83879,2.1059,-1.8789,-0.052397,0,0
0.83879,2.1059,-1.8789,-0.052397,0,0
0.41867,2.5108,-2.0518,-0.28455,0,0
0.031556,2.621,-2.077,-0.36954,0,0
-0.17445,2.6381,-2.0799,-0.38362,0,0
-0.30159,2.628,-2.0782,-0.3753,0,0
-0.30159,2.628,-2.0782,-0.3753,0,0
-0.58214,2.4717,-2.0405,-0.25674,0,0
-0.62711,2.3278,-1.9888,-0.16442,0,0
-0.65462,2.2494,-1.9542,-0.12071,0,0
-0.65462,2.2494,-1.9542,-0.12071,0,0
0.16718,2.2129,-1.9365,-0.10185,0,0
0.20733,1.6808,-1.5634,0.057108,0,0
0.011158,1.5802,-1.4676,0.061983,0,0
-0.059272,1.5341,-1.421,0.061472,0,0
-0.082054,1.5172,-1.4036,0.060855,0,0
-0.10927,1.4904,-1.3752,0.059394,0,0
0.21245,1.6287,-1.5148,0.060659,0,0
0.2268,2.1221,-1.8882,-0.059352,0,0
-0.18542,2.3513,-1.9983,-0.17848,0,0
-0.38037,2.3868,-2.0119,-0.20038,0,0
-0.54778,2.3897,-2.0129,-0.20221,0,0
-0.54778,2.3897,-2.0129,-0.20221,0,0
-0.62221,2.3841,-2.0109,-0.1987,0,0
-0.60731,1.8984,-1.7426,0.018736,0,0
-0.52552,1.7084,-1.5883,0.054339,0,0
-0.46991,1.8132,-1.6769,0.038261,0,0
-0.43528,1.9025,-1.7456,0.017655,0,0
-0.43528,1.9025,-1.7456,0.017655,0,0
-0.39279,2.021,-1.8272,-0.019319,0,0
-0.50432,2.0648,-1.8545,-0.035698,0,0
-0.592,1.9579,-1.7851,0.0017104,0,0
-0.64697,1.8863,-1.7336,0.021865,0,0
-0.64697,1.8863,-1.7336,0.021865,0,0
-0.44911,2.112,-1.8824,-0.054989,0,0
-0.30608,2.2913,-1.9733,-0.1435,0,0
-0.11251,2.391,-2.0134,-0.20307,0,0
-0.11251,2.391,-2.0134,-0.20307,0,0
-0.11251,2.391,-2.0134,-0.20307,0,0
0.73147,2.2606,-1.9594,-0.12668,0,0
0.77009,2.0818,-1.8648,-0.042459,0,0
0.80456,1.9951,-1.8102,-0.010293,0,0
0.82851,1.9579,-1.7851,0.0017397,0,0
0.82851,1.9579,-1.7851,0.0017397,0,0
0.43981,2.1623,-1.9103,-0.077392,0,0
0.2162,2.1929,-1.9264,-0.09196,0,0
0.077369,2.1821,-1.9208,-0.086772,0,0
0.0026246,2.162,-1.9102,-0.077283,0,0
0.0026246,2.162,-1.9102,-0.077283,0,0
-0.16373,1.9311,-1.7663,0.0097378,0,0
-0.32036,1.6751,-1.5582,0.057603,0,0
-0.36337,1.7441,-1.6194,0.049849,0,0
-0.36337,1.7441,-1.6194,0.049849,0,0
-0.49379,1.7943,-1.6616,0.041807,0,0
-0.49379,1.7943,-1.6616,0.041807,0,0
-0.49379,1.7943,-1.6616,0.041807,0,0
0.011876,1.9431,-1.7748,0.0062034,0,0
0.29779,1.8313,-1.6914,0.034587,0,0
0.44245,1.7113,-1.5908,0.054013,0,0
0.48862,1.6544,-1.5391,0.059183,0,0
0.48862,1.6544,-1.5391,0.059183,0,0
0.53599,1.6142,-1.5009,0.061254,0,0
0.34378,1.688,-1.5699,0.05645,0,0
-0.014428,1.6012,-1.4884,0.061643,0,0
-0.098945,1.5142,-1.4004,0.060719,0,0
-0.14231,1.4555,-1.3376,0.05663,0,0
-0.14231,1.4555,-1.3376,0.05663,0,0
-0.13731,1.9834,-1.8025,-0.0064129,0,0
-0.010188,2.4608,-2.0371,-0.24915,0,0
0.025483,2.2095,-1.9348,-0.10015,0,0
0.024908,2.1685,-1.9137,-0.080308,0,0
0.019875,2.0913,-1.8704,-0.046328,0,0
0.23199,1.937,-1.7705,0.0080132,0,0
0.53857,1.9959,-1.8108,-0.010561,0,0
0.60942,2.1223,-1.8883,-0.059429,0,0
0.66997,2.1941,-1.927,-0.092546,0,0
0.66997,2.1941,-1.927,-0.092546,0,0
0.40712,1.9254,-1.7623,0.011345,0,0
0.28596,1.7678,-1.6396,0.046303,0,0
0.23858,1.6844,-1.5666,0.056787,0,0
0.19394,1.6169,-1.5035,0.061158,0,0
0.19394,1.6169,-1.5035,0.061158,0,0
-0.1128,1.7153,-1.5943,0.053562,0,0
-0.44343,1.9892,-1.8063,-0.0083147,0,0
-0.46488,2.1698,-1.9143,-0.080898,0,0
-0.49084,2.2643,-1.9611,-0.12867,0,0
-0.49048,2.2855,-1.9707,-0.14028,0,0
-0.49236,2.3105,-1.9816,-0.15441,0,0
-0.44897,2.0763,-1.8615,-0.040253,0,0
0.12667,1.8615,-1.7148,0.027899,0,0
0.42168,1.6953,-1.5765,0.055731,0,0
0.51733,1.5941,-1.4813,0.061799,0,0
0.55278,1.5466,-1.4338,0.06178,0,0
0.59321,1.5013,-1.3868,0.060059,0,0
0.59321,1.5013,-1.3868,0.060059,0,0
0.14568,2.1058,-1.8789,-0.052375,0,0
0.21466,2.0844,-1.8664,-0.043523,0,0
0.26418,2.0425,-1.8408,-0.027186,0,0
0.38881,1.9208,-1.7589,0.012655,0,0
0.44019,1.862,-1.7153,0.027771,0,0
0.46422,1.8228,-1.6846,0.036354,0,0
0.46422,1.8228,-1.6846,0.036354,0,0
0.37461,1.8231,-1.6848,0.036294,0,0
-0.077602,1.6011,-1.4882,0.061647,0,0
-0.16482,1.4579,-1.3402,0.056849,0,0
-0.19765,1.3945,-1.2694,0.04943,0,0
-0.2142,1.3641,-1.2343,0.04473,0,0
-0.22082,1.3427,-1.2092,0.040975,0,0
-0.28261,1.658,-1.5424,0.058936,0,0
-0.29712,1.8046,-1.6699,0.039917,0,0
-0.33511,1.9064,-1.7485,0.016618,0,0
-0.33511,1.9064,-1.7485,0.016618,0,0
-0.33511,1.9064,-1.7485,0.016618,0,0
-0.37254,2.1216,-1.8879,-0.059132,0,0
-0.40304,2.2483,-1.9537,-0.12012,0,0
-0.40304,2.2483,-1.9537,-0.12012,0,0
-0.4022,2.3107,-1.9816,-0.15449,0,0
-0.17773,2.2881,-1.9719,-0.14173,0,0
0.063435,1.7677,-1.6395,0.046325,0,0
0.032121,1.5904,-1.4778,0.061862,0,0
0.016516,1.4928,-1.3779,0.059554,0,0
0.0099535,1.472,-1.3555,0.058057,0,0
0.0099535,1.472,-1.3555,0.058057,0,0
0.004031,1.6528,-1.5376,0.05929,0,0
0.21099,1.6096,-1.4964,0.061409,0,0
0.27335,1.4613,-1.344,0.057161,0,0
0.29733,1.3927,-1.2674,0.049179,0,0
0.31875,1.3187,-1.1805,0.036325,0,0
0.31875,1.3187,-1.1805,0.036325,0,0
-0.040525,1.9846,-1.8033,-0.0068109,0,0
-0.2492,2.1516,-1.9046,-0.072492,0,0
-0.039306,2.0388,-1.8385,-0.025788,0,0
0.02975,1.9648,-1.7899,-0.00043349,0,0
0.080517,1.9019,-1.7452,0.017806,0,0
0.080517,1.9019,-1.7452,0.017806,0,0
0.35067,1.6718,-1.5552,0.05788,0,0
0.52008,1.4871,-1.3718,0.059181,0,0
0.46841,1.4814,-1.3657,0.058779,0,0
0.47123,1.365,-1.2354,0.044877,0,0
0.59763,1.5218,-1.4083,0.061044,0,0
0.70684,1.7245,-1.6024,0.052444,0,0
0.76199,1.7817,-1.6512,0.044014,0,0
0.8083,1.8049,-1.6702,0.039849,0,0
0.8083,1.8049,-1.6702,0.039849,0,0
0.5111,1.5884,-1.4757,0.061894,0,0
0.39149,1.5168,-1.4032,0.060838,0,0
0.53338,1.6519,-1.5367,0.05935,0,0
0.60968,1.689,-1.5708,0.056352,0,0
0.60968,1.689,-1.5708,0.056352,0,0
0.65379,1.7061,-1.5862,0.054599,0,0
0.46603,1.5557,-1.4431,0.061926,0,0
0.24008,1.5402,-1.4273,0.061638,0,0
0.24455,1.6253,-1.5116,0.060812,0,0
0.24418,1.6459,-1.5311,0.059733,0,0
0.24434,1.667,-1.5507,0.058264,0,0
-0.051317,1.5821,-1.4695,0.061968,0,0
-0.18444,1.4295,-1.3089,0.053931,0,0
-0.24176,1.3853,-1.2588,0.048078,0,0
-0.2752,1.3191,-1.181,0.036414,0,0
-0.2752,1.3191,-1.181,0.036414,0,0
-0.15166,1.3944,-1.2693,0.049413,0,0
0.063342,1.6248,-1.5111,0.060834,0,0
0.16204,1.7323,-1.6092,0.051447,0,0
0.16204,1.7323,-1.6092,0.051447,0,0
0.20413,1.773,-1.6439,0.045466,0,0
0.034947,2.1698,-1.9143,-0.080897,0,0
0.35333,1.9489,-1.7789,0.0044699,0,0
0.45954,1.6191,-1.5056,0.061072,0,0
0.51694,1.4393,-1.3198,0.055014,0,0
0.52021,1.414,-1.2915,0.052052,0,0
0.53683,1.3115,-1.1718,0.034842,0,0
0.53683,1.3115,-1.1718,0.034842,0,0
0.31661,1.7935,-1.661,0.041945,0,0
0.37179,1.9382,-1.7713,0.0076747,0,0
0.47158,1.6584,-1.5428,0.058908,0,0
0.52743,1.5339,-1.4208,0.061465,0,0
0.53429,1.5167,-1.403,0.060833,0,0
0.54354,1.4761,-1.3599,0.058379,0,0
0.50099,1.3808,-1.2537,0.0474,0,0
0.46042,1.3523,-1.2205,0.042701,0,0
0.46042,1.3523,-1.2205,0.042701,0,0
0.5936,1.7698,-1.6412,0.045988,0,0
0.71733,1.908,-1.7496,0.016178,0,0
0.83953,2.0019,-1.8147,-0.012615,0,0
0.85744,2.0071,-1.8181,-0.014412,0,0
0.87753,2.0149,-1.8232,-0.017145,0,0
0.39728,2.4771,-2.0421,-0.26046,0,0
-0.17477,2.5433,-2.0602,-0.30851,0,0
-0.22373,2.172,-1.9155,-0.081976,0,0
-0.40289,2.427,-2.0261,-0.22635,0,0
-0.40289,2.427,-2.0261,-0.22635,0,0
-0.10475,1.8518,-1.7074,0.030124,0,0
0.24842,1.4391,-1.3196,0.054988,0,0
0.34951,1.4607,-1.3433,0.057103,0,0
0.42367,1.416,-1.2938,0.052309,0,0
0.43535,1.4044,-1.2807,0.050808,0,0
0.44441,1.3917,-1.2662,0.049022,0,0
0.38085,1.461,-1.3436,0.057132,0,0
0.38085,1.461,-1.3436,0.057132,0,0
0.35076,1.4993,-1.3848,0.059948,0,0
0.21676,1.4038,-1.28,0.050722,0,0
0.19902,1.3268,-1.1902,0.037949,0,0
0.19902,1.3268,-1.1902,0.037949,0,0
0.19074,1.3124,-1.1729,0.035038,0,0
0.11443,1.2574,-1.1053,0.022397,0,0
0.059361,1.2856,-1.1403,0.029179,0,0
0.059361,1.2856,-1.1403,0.029179,0,0
0.12863,1.8032,-1.6688,0.040173,0,0
0.2474,2.0841,-1.8662,-0.043411,0,0
0.17403,1.9357,-1.7695,0.0084065,0,0
0.13484,1.8402,-1.6984,0.032684,0,0
0.12554,1.8241,-1.6857,0.036072,0,0
0.11693,1.8055,-1.6707,0.039736,0,0
-0.17431,1.8577,-1.712,0.028768,0,0
-0.34168,1.8985,-1.7427,0.018706,0,0
-0.37603,1.9014,-1.7448,0.017943,0,0
-0.43503,1.9009,-1.7444,0.018084,0,0
-0.43503,1.9009,-1.7444,0.018084,0,0
0.025082,1.9726,-1.7951,-0.002893,0,0
0.43784,1.5683,-1.4558,0.062017,0,0
0.42129,1.5608,-1.4482,0.061978,0,0
0.37289,1.5345,-1.4215,0.061485,0,0
0.40391,1.822,-1.684,0.036512,0,0
0.46571,1.7313,-1.6083,0.051586,0,0
0.4541,1.5655,-1.453,0.062008,0,0
0.44737,1.5467,-1.4339,0.061783,0,0
