x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.05,-0.12,0.12,12.61986494804043,110.56165427596392,159.6498794523689,49.08822517640501,385.0,186.0,420.0,163.0,454.0,215.0,418.0,237.0,419.0,200.0,74.84650960465692,,640,480
0.05,-0.11,0.12,14.443954780416533,116.07086228602692,162.6635340415101,46.59267175548318,384.0,217.0,425.0,202.0,446.0,262.0,404.0,276.0,415.0,239.0,76.60939890117922,,640,480
0.05,-0.1,0.12,16.56505117707799,121.54446694984355,165.2760867370148,43.73161978717124,375.0,216.0,415.0,201.0,437.0,259.0,397.0,274.0,406.0,237.0,75.45197147855052,,640,480
0.05,-0.09,0.12,19.05460409907714,126.93189152893574,167.47975837422098,40.54786684528523,355.0,217.0,394.0,199.0,421.0,256.0,381.0,273.0,388.0,236.0,76.66159403508382,,640,480
0.05,-0.08,0.12,22.0053832080835,132.1659034852314,169.2699045712968,37.104001086065395,346.0,217.0,382.0,197.0,412.0,252.0,374.0,271.0,379.0,234.0,74.70609078247904,,640,480
0.05,-0.07,0.12,25.53767779197438,137.16401463675476,170.64905242482325,33.485037788068496,335.0,217.0,370.0,195.0,404.0,246.0,367.0,269.0,369.0,231.0,74.84650960465692,,640,480
0.05,-0.06,0.12,29.80557109226519,141.83133785218513,171.63146118223517,29.800123330050027,317.0,220.0,357.0,190.0,400.0,246.0,360.0,276.0,358.0,233.0,86.97700845625813,,640,480
0.05,-0.05,0.12,35.0,146.0643461094779,172.2479912259844,26.183645116506522,,,,,,,,,,,,,640,480
0.05,-0.04,0.12,41.34019174590991,149.7545868812887,172.5507440615227,22.796157180233987,291.0,229.0,321.0,190.0,379.0,233.0,348.0,272.0,335.0,231.0,88.09086218218096,,640,480
0.05,0.04,0.12,118.65980825409008,149.7545868812887,172.5507440615227,22.796157180233987,277.0,237.0,280.0,194.0,339.0,200.0,336.0,243.0,308.0,218.0,72.20110802473879,,640,480
0.05,0.05,0.12,125.0,146.0643461094779,172.2479912259844,26.183645116506522,262.0,244.0,246.0,205.0,303.0,182.0,319.0,222.0,282.0,213.0,74.33034373659252,,640,480
0.05,0.06,0.12,130.19442890773482,141.83133785218513,171.63146118223517,29.800123330050027,248.0,255.0,217.0,226.0,257.0,183.0,288.0,211.0,252.0,219.0,72.56031973468694,,640,480
0.05,0.07,0.12,134.46232220802563,137.16401463675476,170.64905242482325,33.485037788068496,240.0,271.0,200.0,255.0,223.0,200.0,263.0,214.0,231.0,235.0,73.00684899377592,,640,480
0.05,0.08,0.12,137.99461679191648,132.1659034852314,169.2699045712968,37.104001086065395,228.0,270.0,189.0,257.0,208.0,201.0,248.0,213.0,218.0,235.0,71.84010022264724,,640,480
0.05,0.09,0.12,140.94539590092285,126.93189152893574,167.47975837422098,40.54786684528523,218.0,271.0,178.0,260.0,195.0,203.0,235.0,213.0,206.0,237.0,71.78439941937245,,640,480
0.05,0.1,0.12,143.43494882292202,121.54446694984355,165.2760867370148,43.73161978717124,208.0,271.0,167.0,262.0,182.0,204.0,222.0,212.0,195.0,237.0,71.8679344353238,,640,480
0.05,0.11,0.12,145.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,195.0,274.0,154.0,268.0,165.0,208.0,206.0,215.0,180.0,241.0,72.49827584156743,,640,480
0.06,-0.12,0.12,16.56505117707799,108.08108375954072,158.165291207637,50.084207448096286,224.0,174.0,203.0,138.0,255.0,110.0,276.0,146.0,239.0,142.0,71.11258679024411,,640,480
0.06,-0.11,0.12,18.61045966596521,113.3781308978084,161.23908684547888,47.860955947670476,276.0,163.0,275.0,120.0,335.0,119.0,337.0,163.0,305.0,141.0,73.60027173862879,,640,480
0.06,-0.1,0.12,20.963756532073518,118.61961415120756,163.92704753857686,45.30743338736932,320.0,176.0,339.0,138.0,395.0,166.0,376.0,205.0,357.0,171.0,75.66372975210778,,640,480
0.06,-0.09,0.12,23.690067525979785,123.75820663832417,166.22569495565563,42.46748831733146,357.0,203.0,392.0,180.0,427.0,230.0,391.0,254.0,392.0,216.0,75.02666192761077,,640,480
0.06,-0.08,0.12,26.869897645844013,128.7311692405338,168.1343989399437,39.403229699409906,342.0,213.0,380.0,190.0,414.0,243.0,375.0,266.0,378.0,228.0,78.0,,640,480
0.06,-0.07,0.12,30.601294645004465,133.46151314909193,169.658871680743,36.197358531651105,335.0,212.0,369.0,185.0,407.0,234.0,373.0,261.0,371.0,223.0,75.28612089887484,,640,480
0.06,-0.06,0.12,35.0,137.8605118603851,170.8148367150398,32.95432485465474,323.0,214.0,351.0,182.0,394.0,223.0,366.0,255.0,358.0,218.0,71.56814934033156,,640,480
0.06,-0.05,0.12,40.1944289077348,141.83133785218513,171.63146118223517,29.800123330050027,311.0,217.0,337.0,184.0,384.0,223.0,358.0,256.0,347.0,220.0,73.24616030891995,,640,480
0.06,-0.04,0.12,46.30993247402021,145.27336941040357,172.15376619373865,26.880396783335087,299.0,223.0,320.0,187.0,371.0,218.0,351.0,255.0,335.0,220.0,72.17340230306452,,640,480
0.06,0.04,0.12,113.6900675259798,145.27336941040357,172.15376619373865,26.880396783335087,279.0,229.0,283.0,187.0,341.0,191.0,339.0,232.0,310.0,210.0,72.71863585079137,,640,480
0.06,0.05,0.12,119.8055710922652,141.83133785218513,171.63146118223517,29.800123330050027,258.0,234.0,242.0,196.0,298.0,172.0,315.0,211.0,278.0,203.0,73.78346698278686,,640,480
0.06,0.06,0.12,125.0,137.8605118603851,170.8148367150398,32.95432485465474,241.0,249.0,211.0,221.0,251.0,176.0,283.0,204.0,246.0,212.0,73.68174807915459,,640,480
0.06,0.07,0.12,129.39870535499554,133.46151314909193,169.658871680743,36.197358531651105,232.0,260.0,195.0,242.0,222.0,188.0,259.0,207.0,227.0,224.0,72.69112738154499,,640,480
0.06,0.08,0.12,133.13010235415598,128.7311692405338,168.1343989399437,39.403229699409906,222.0,260.0,185.0,244.0,209.0,189.0,247.0,206.0,215.0,224.0,72.18032973047436,,640,480
0.06,0.09,0.12,136.30993247402023,123.75820663832417,166.22569495565563,42.46748831733146,213.0,263.0,174.0,250.0,194.0,195.0,234.0,207.0,203.0,229.0,70.60453243241541,,640,480
0.06,0.1,0.12,139.03624346792648,118.61961415120756,163.92704753857686,45.30743338736932,197.0,261.0,159.0,250.0,177.0,193.0,216.0,204.0,187.0,227.0,70.8801805866774,,640,480
0.06,0.11,0.12,141.3895403340348,113.3781308978084,161.23908684547888,47.860955947670476,185.0,261.0,147.0,251.0,163.0,193.0,202.0,203.0,174.0,227.0,71.47027354082255,,640,480
0.07,-0.12,0.12,20.25643716352927,105.26283824054431,156.3810463850317,51.118208144487404,225.0,162.0,207.0,126.0,262.0,100.0,280.0,138.0,243.0,131.0,72.20110802473879,,640,480
0.07,-0.11,0.12,22.471192290848492,110.33228740803455,159.51595664743394,49.183669239399414,293.0,153.0,298.0,112.0,360.0,119.0,354.0,163.0,326.0,136.0,75.13321502504735,,640,480
0.07,-0.1,0.12,24.992020198558663,115.32537028508844,162.27841132779272,46.953041042704285,356.0,183.0,385.0,152.0,428.0,194.0,398.0,225.0,392.0,188.0,72.83543093852057,,640,480
0.07,-0.09,0.12,27.874983651098205,120.19852829231573,164.66865798218828,44.470129689872564,365.0,200.0,401.0,177.0,435.0,228.0,399.0,251.0,400.0,214.0,75.39230729988306,,640,480
