t0i,t1i,t2i,t3i,xi,yi,t00.30,t10.30,t20.30,t30.30,x0.30,y0.30,t00.50,t10.50,t20.50,t30.50,x0.50,y0.50,t00.75,t10.75,t20.75,t30.75,x0.75,y0.75,t00.82,t10.82,t20.82,t30.82,x0.82,y0.82,t00.90,t10.90,t20.90,t30.90,x0.90,y0.90,t00.95,t10.95,t20.95,t30.95,x0.95,y0.95,t0f,t1f,t2f,t3f,xf,yf
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,72.91152432185399,130.4062288375613,168.70698007711468,38.30075123955342,0.0965,-0.012,71.7241071729248,105.24956705223796,156.37239701850214,51.12282996626418,0.1375,-0.02,70.96892820355937,75.16447035710702,130.5680096450758,55.40353928796876,0.18875,-0.03,70.81669498569356,65.92030246082986,120.0950824702529,54.174780009423046,0.20412499999999997,-0.033,70.685892707707,55.988376020861445,107.53207947602841,51.54370345516697,0.2195,-0.036000000000000004,70.6084632230614,48.545348829956254,97.25550639616716,48.71015756621092,0.22974999999999998,-0.038,70.6084632230614,48.545348829956254,97.25550639616716,48.71015756621092,0.24,-0.04
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,74.67176521802016,130.603140588188,168.77194330426076,38.16880271607273,0.0965,-0.009,73.77417093557423,105.62213620590927,156.6143312609637,50.99219505505444,0.1375,-0.015,73.20211749971367,75.76194093997661,131.20371449913887,55.44177355916228,0.18875,-0.0225,73.08667724338684,66.61892588012405,120.92810952852294,54.30918364839889,0.20412499999999997,-0.024749999999999998,72.98745418992148,56.841977367399835,108.66403454170757,51.82205717430773,0.2195,-0.027,72.9287032250427,49.57489953690559,98.7200294150824,49.14512987817682,0.22974999999999998,-0.028499999999999998,72.9287032250427,49.57489953690559,98.7200294150824,49.14512987817682,0.24,-0.03
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,76.44214813388191,130.74415976702977,168.8181626315279,38.074002864498155,0.0965,-0.006,75.84035770628736,105.88950590869098,156.7868234511272,50.89731754243622,0.1375,-0.01,75.45624234853284,76.19008591024243,131.65616546631128,55.46607955606885,0.18875,-0.015,75.3786680934826,67.11829495459295,121.51941535831318,54.40112040372023,0.20412499999999997,-0.0165,75.31197486729329,57.44880718324596,109.462842117507,52.01403493426104,0.2195,-0.018000000000000002,75.27247776203517,50.300886130250035,99.74449551932685,49.44360938907681,0.22974999999999998,-0.019,75.27247776203517,50.300886130250035,99.74449551932685,49.44360938907681,0.24,-0.02
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,78.21935755400132,130.82891907104835,168.84582035374635,38.01690128269801,0.0965,-0.003,77.91743472026911,106.05043225608087,156.89018998824287,50.83975773216201,0.1375,-0.005,77.7245435617458,76.44754588429778,131.9269978877182,55.47945200342043,0.18875,-0.0075,77.68556984546385,67.4180961650746,121.87275375411183,54.45465758903722,0.20412499999999997,-0.00825,77.65205771281568,57.81185971409291,109.93839833193479,52.12653861784189,0.2195,-0.009000000000000001,77.63220888185758,50.73303412874084,100.35106988042355,49.61803575168271,0.22974999999999998,-0.0095,77.63220888185758,50.73303412874084,100.35106988042355,49.61803575168271,0.24,-0.01
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,80.0,130.85719686803134,168.855027213155,37.99783034512368,0.0965,0.0,80.0,106.10415896119807,156.92462387575256,50.82046491455449,0.1375,0.0,80.0,76.5334634714708,132.01717011318854,55.483706641717745,0.18875,0.0,80.0,67.51806370752841,121.9902962728796,54.4722325653512,0.20412499999999997,0.0,80.0,57.932713465176796,110.0963113008447,52.16359783566791,0.2195,0.0,80.0,50.87653907215186,100.5519606030342,49.675421530882346,0.22974999999999998,0.0,80.0,50.87653907215186,100.5519606030342,49.675421530882346,0.24,0.0
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,81.78064244599868,130.82891907104835,168.84582035374635,38.01690128269801,0.0965,0.003,82.08256527973089,106.05043225608087,156.89018998824287,50.83975773216201,0.1375,0.005,82.2754564382542,76.44754588429778,131.9269978877182,55.47945200342043,0.18875,0.0075,82.31443015453615,67.4180961650746,121.87275375411183,54.45465758903722,0.20412499999999997,0.00825,82.34794228718432,57.81185971409291,109.93839833193479,52.12653861784189,0.2195,0.009000000000000001,82.36779111814242,50.73303412874084,100.35106988042355,49.61803575168271,0.22974999999999998,0.0095,82.36779111814242,50.73303412874084,100.35106988042355,49.61803575168271,0.24,0.01
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,83.55785186611809,130.74415976702977,168.8181626315279,38.074002864498155,0.0965,0.006,84.15964229371264,105.88950590869098,156.7868234511272,50.89731754243622,0.1375,0.01,84.54375765146716,76.19008591024243,131.65616546631128,55.46607955606885,0.18875,0.015,84.6213319065174,67.11829495459295,121.51941535831318,54.40112040372023,0.20412499999999997,0.0165,84.68802513270671,57.44880718324596,109.462842117507,52.01403493426104,0.2195,0.018000000000000002,84.72752223796483,50.300886130250035,99.74449551932685,49.44360938907681,0.22974999999999998,0.019,84.72752223796483,50.300886130250035,99.74449551932685,49.44360938907681,0.24,0.02
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,85.32823478197984,130.603140588188,168.77194330426076,38.16880271607273,0.0965,0.009,86.22582906442577,105.62213620590927,156.6143312609637,50.99219505505444,0.1375,0.015,86.79788250028633,75.76194093997661,131.20371449913887,55.44177355916228,0.18875,0.0225,86.91332275661316,66.61892588012405,120.92810952852294,54.30918364839889,0.20412499999999997,0.024749999999999998,87.01254581007852,56.841977367399835,108.66403454170757,51.82205717430773,0.2195,0.027,87.0712967749573,49.57489953690559,98.7200294150824,49.14512987817682,0.22974999999999998,0.028499999999999998,87.0712967749573,49.57489953690559,98.7200294150824,49.14512987817682,0.24,0.03
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,87.08847567814601,130.4062288375613,168.70698007711468,38.30075123955342,0.0965,0.012,88.2758928270752,105.24956705223796,156.37239701850214,51.12282996626418,0.1375,0.02,89.03107179644063,75.16447035710702,130.5680096450758,55.40353928796876,0.18875,0.03,89.18330501430644,65.92030246082986,120.0950824702529,54.174780009423046,0.20412499999999997,0.033,89.314107292293,55.988376020861445,107.53207947602841,51.54370345516697,0.2195,0.036000000000000004,89.3915367769386,48.545348829956254,97.25550639616716,48.71015756621092,0.22974999999999998,0.038,89.3915367769386,48.545348829956254,97.25550639616716,48.71015756621092,0.24,0.04
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,88.83537321344949,130.15393440197846,168.6230224348771,38.46908803289861,0.0965,0.015,90.30484646876603,104.77350562595568,156.06058840113258,51.28708277517689,0.1375,0.025,91.23694425934477,74.39943207782377,129.7466777065627,55.347245628738925,0.18875,0.037500000000000006,91.42459132646188,65.02258647682119,119.01478012175947,53.99219364493828,0.20412499999999997,0.04125,91.58575247668051,54.88299178414506,106.05185891431245,51.16886713016738,0.2195,0.045000000000000005,91.68112250865967,47.196055054635835,95.3154811298337,48.11942607519788,0.22974999999999998,0.0475,91.68112250865967,47.196055054635835,95.3154811298337,48.11942607519788,0.24,0.05
