x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal,xe,ye
0.16,-0.19,0.12,30.10090754621224,33.94815507832919,75.04100904341297,41.09285396508378,145.0,-275.0,0.5910447761194031,0.9878260869565217,73.38937252763509,0.41158432708688253,0.012639405204460885
0.17,-0.18,0.12,33.36342295838328,34.95263530875019,76.65563066803891,41.70299535928872,160.0,-264.0,0.6358208955223881,0.968695652173913,72.80109889280519,0.3672913117546849,0.03197026022304833
0.18,-0.17,0.12,36.63657704161671,34.95263530875019,76.65563066803891,41.70299535928872,178.0,-249.0,0.6895522388059703,0.942608695652174,72.78049189171504,0.3137989778534923,0.05799256505576206
0.19,-0.16,0.12,39.89909245378776,33.94815507832919,75.04100904341297,41.09285396508378,191.0,-235.0,0.7283582089552241,0.9182608695652175,72.83543093852057,0.27563884156729124,0.08234200743494419
0.2,-0.15,0.12,43.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,208.0,-222.0,0.7791044776119405,0.8956521739130434,75.23961722390672,0.22521294718909712,0.10501858736059477
0.22,-0.12,0.12,51.389540334034784,30.845047846496456,69.97272354175345,39.12767569525699,236.0,-183.0,0.8626865671641792,0.8278260869565217,73.17103251970687,0.1427597955706984,0.17304832713754642
0.23,-0.1,0.12,56.50143432404791,30.52869048164186,69.44917753517718,38.920487053535325,259.0,-140.0,0.9313432835820896,0.7530434782608696,74.52516353554684,0.07393526405451456,0.24684014869888474
0.24,-0.07,0.12,63.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,275.0,-97.0,0.9791044776119404,0.6782608695652174,74.94664769020693,0.026575809199318567,0.3215613382899628
0.24,-0.06,0.12,65.96375653207352,35.19606745133599,77.04502010815916,41.84895265682317,272.0,-86.0,0.9701492537313434,0.6591304347826087,73.7360156233031,0.035775127768313486,0.34089219330855014
0.24,-0.05,0.12,68.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,273.0,-68.0,0.973134328358209,0.6278260869565218,73.40980860893181,0.032708688245315254,0.3719330855018587
0.24,-0.04,0.12,70.53767779197437,39.59941263885652,83.96012566100063,44.36071302214412,273.0,-54.0,0.973134328358209,0.6034782608695652,74.68600939935136,0.032708688245315254,0.3962825278810409
0.24,-0.03,0.12,72.8749836510982,40.98889311067623,86.0916434521516,45.10275034147537,272.0,-40.0,0.9701492537313434,0.5791304347826087,74.30343195303969,0.035775127768313486,0.42063197026022303
0.24,-0.02,0.12,75.23635830927383,41.94703213784924,87.54730057491714,45.6002684370679,273.0,-17.0,0.973134328358209,0.5391304347826087,73.78346698278686,0.032708688245315254,0.4600371747211896
0.24,-0.01,0.12,77.61405596961119,42.509901495046414,88.39704037083692,45.8871388757905,273.0,-6.0,0.973134328358209,0.52,74.88658090739622,0.032708688245315254,0.479368029739777
0.24,0.0,0.12,80.0,42.69567001585551,88.6766085021249,45.98093848626939,272.0,11.0,0.9701492537313434,0.49043478260869566,74.81310045707235,0.035775127768313486,0.5087360594795539
0.24,0.01,0.12,82.38594403038881,42.509901495046414,88.39704037083692,45.8871388757905,271.0,25.0,0.9671641791044778,0.46608695652173915,75.92759709091287,0.03884156729131172,0.533085501858736
0.24,0.02,0.12,84.76364169072617,41.94703213784924,87.54730057491714,45.6002684370679,270.0,35.0,0.964179104477612,0.44869565217391305,75.07329751649384,0.04190800681430995,0.5507434944237919
0.24,0.03,0.12,87.1250163489018,40.98889311067623,86.0916434521516,45.10275034147537,267.0,53.0,0.955223880597015,0.41739130434782606,75.66372975210778,0.05110732538330498,0.5817843866171004
0.24,0.04,0.12,89.46232220802563,39.59941263885652,83.96012566100063,44.36071302214412,267.0,65.0,0.955223880597015,0.39652173913043476,77.15568676384133,0.05110732538330498,0.6027881040892193
0.24,0.05,0.12,91.76828893202064,37.7118257390124,81.02561920862155,43.31379346960915,267.0,81.0,0.955223880597015,0.36869565217391304,73.7563556583431,0.05110732538330498,0.6304832713754647
0.24,0.06,0.12,94.03624346792648,35.19606745133599,77.04502010815916,41.84895265682317,265.0,99.0,0.9492537313432836,0.33739130434782605,75.6042326857432,0.057240204429301667,0.6615241635687733
