x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.05,0.05,0.1,0.7853981633974483,2.857867240156835,-2.338103568299805,-0.34523074665759723,434.0,123.0,495.0,114.0,508.0,195.0,444.0,203.0,471.0,159.0,103.24727599312246,,640,480
0.05,0.1,0.1,1.1071487177940904,2.3455466255669717,-2.198879942811102,0.027866242443563144,,,,,,,,,,,,,640,480
0.05,0.15,0.1,1.2490457723982544,1.82099042897998,-1.8799385048538164,0.23348100107326927,,,,,,,,,,,,,640,480
0.05,0.2,0.1,1.3258176636680326,1.3355938964863192,-1.3974527699100763,0.23639179862319,,,,,,,,,,,,,640,480
0.1,0.05,0.1,0.4636476090008061,2.3455466255669717,-2.198879942811102,0.027866242443563144,,,,,,,,,,,,,640,480
0.1,0.1,0.1,0.7853981633974483,2.0004984101372774,-2.0112073315081638,0.18524184657031936,,,,,,,,,,,,,640,480
0.1,0.15,0.1,0.982793723247329,1.594546420073082,-1.6784406729627006,0.2584271780890517,,,,,,,,,,,,,640,480
0.1,0.2,0.1,1.1071487177940904,1.153468228205816,-1.1682785132151454,0.1893432102087624,,,,,,,,,,,,,640,480
0.15,0.05,0.1,0.32175055439664224,1.82099042897998,-1.8799385048538164,0.23348100107326927,,,,,,,,,,,,,640,480
0.15,0.1,0.1,0.5880026035475676,1.594546420073082,-1.6784406729627006,0.2584271780890517,,,,,,,,,,,,,640,480
0.15,0.15,0.1,0.7853981633974483,1.2745637803309158,-1.3234800373059352,0.2234491821744524,,,,,,,,,,,,,640,480
0.15,0.2,0.1,0.9272952180016123,0.8233099780448521,-0.6919558527496558,0.04317879990423665,,,,,,,,,,,,,640,480
0.2,0.05,0.1,0.24497866312686414,1.3355938964863192,-1.3974527699100763,0.23639179862319,,,,,,,,,,,,,640,480
0.2,0.1,0.1,0.4636476090008061,1.153468228205816,-1.1682785132151454,0.1893432102087624,,,,,,,,,,,,,640,480
0.2,0.15,0.1,0.6435011087932844,0.8233099780448521,-0.6919558527496558,0.04317879990423665,,,,,,,,,,,,,640,480
0.2,0.2,0.1,0.7853981633974483,0.3808122880958493,-0.0,-0.20627936289641638,,,,,,,,,,,,,640,480
