x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.12,0.03,0.12,94.03624346792648,114.3444850315014,161.76091583812632,47.41643080662492,74.0,39.0,1.332,-0.702,75.8023746329889
0.12,0.04,0.12,98.434948822922,112.66261880705817,160.84501499283402,48.18239618577587,72.0,49.0,1.296,-0.882,76.8505042273634
0.12,0.05,0.12,102.61986494804044,110.56165427596392,159.6498794523689,49.08822517640501,74.0,54.0,1.332,-0.972,76.15773105863909
0.12,0.06,0.12,106.565051177078,108.08108375954072,158.165291207637,50.084207448096286,71.0,66.0,1.278,-1.188,86.4060183089118
0.12,0.07,0.12,110.25643716352928,105.26283824054433,156.3810463850317,51.11820814448741,70.0,82.0,1.26,-1.476,86.33075929238663
0.12,0.08,0.12,113.6900675259798,102.1486369439698,154.28731058245563,52.13867363848584,75.0,93.0,1.35,-1.674,76.53757247260981
0.12,0.09,0.12,116.86989764584402,98.77760954436248,151.87452426188213,53.09691471751963,72.0,110.0,1.296,-1.98,85.70297544426332
0.11,0.1,0.12,122.27368900609376,99.55673522845954,152.44580322609056,52.889067997631024,56.0,127.0,1.008,-2.286,75.32595834106593
0.1,0.11,0.12,127.72631099390628,99.55673522845954,152.44580322609056,52.889067997631024,42.0,136.0,0.756,-2.448,86.09297300012354
0.11,0.09,0.12,119.28940686250036,103.3776328317195,155.12900328134117,51.75137044962168,55.0,112.0,0.99,-2.016,76.79192665899195
0.11,0.08,0.12,116.0273733851036,106.98322596997389,157.48263263254333,50.49940666256946,57.0,97.0,1.026,-1.746,88.64536084872124
0.11,0.07,0.12,112.47119229084848,110.33228740803456,159.51595664743394,49.18366923939941,52.0,85.0,0.936,-1.53,86.58521813797087
0.11,0.06,0.12,108.6104596659652,113.3781308978084,161.23908684547888,47.86095594767048,55.0,70.0,0.99,-1.26,86.64871608973787
0.11,0.05,0.12,104.44395478041652,116.07086228602692,162.6635340415101,46.59267175548318,50.0,57.0,0.9,-1.026,77.87810988975015
0.11,0.04,0.12,99.98310652189998,118.36017428389415,163.80218537193858,45.44201108804442,54.0,45.0,0.972,-0.81,77.02596964660685
0.11,0.03,0.12,95.25511870305778,120.19852829231576,164.66865798218828,44.470129689872536,48.0,34.0,0.864,-0.612,87.13208364316786
0.11,0.02,0.12,90.30484646876604,121.54446694984358,165.2760867370148,43.73161978717121,56.0,26.0,1.008,-0.468,86.21484790916237
0.11,0.01,0.12,85.1944289077348,122.36573116609338,165.6355522610379,43.26982109494452,49.0,14.0,0.882,-0.252,77.10382610480494
0.11,0.0,0.12,80.0,122.64182877212744,165.75449840717494,43.11266963504746,53.0,3.0,0.954,-0.054,86.21484790916237
0.11,-0.01,0.12,74.8055710922652,122.36573116609338,165.6355522610379,43.26982109494452,53.0,-9.0,0.954,0.162,85.70297544426332
0.11,-0.02,0.12,69.69515353123397,121.54446694984358,165.2760867370148,43.73161978717121,56.0,-22.0,1.008,0.396,77.38862965578342
0.11,-0.03,0.12,64.74488129694222,120.19852829231576,164.66865798218828,44.470129689872536,56.0,-29.0,1.008,0.522,77.62087348130012
