x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.15,-0.08,0.12,51.927513064147035,87.26902978883984,142.46496844209707,55.195938653257244,367.0,196.0,387.0,159.0,443.0,188.0,422.0,226.0,405.0,192.0,76.4198926981712,,640,480
0.15,-0.07,0.12,54.98310652189997,89.8261093982419,144.7144221506847,54.88831275244282,354.0,198.0,371.0,160.0,427.0,186.0,410.0,224.0,390.0,192.0,73.97972695272672,,640,480
0.15,-0.06,0.12,58.198590513648185,92.10497830575517,146.6422365812282,54.537258275473015,339.0,202.0,353.0,162.0,411.0,184.0,396.0,225.0,375.0,193.0,74.21590126111789,,640,480
0.15,-0.05,0.12,61.56505117707799,94.08380395514153,148.2577740429466,54.17397008780505,329.0,206.0,341.0,166.0,400.0,185.0,388.0,225.0,364.0,195.0,74.04052944165107,,640,480
0.15,-0.04,0.12,65.06858282186245,95.74046806745588,149.56874872127253,53.828280653816634,314.0,207.0,323.0,166.0,383.0,180.0,373.0,222.0,348.0,193.0,74.09453421137081,,640,480
0.15,-0.03,0.12,68.69006752597979,97.05411985044324,150.58151326540266,53.52739341495942,302.0,212.0,308.0,169.0,369.0,179.0,363.0,222.0,335.0,195.0,74.68600939935136,,640,480
0.15,-0.02,0.12,72.40535663140855,98.00666927119644,151.30114035755793,53.29447108636149,,,,,,,,,,,,,640,480
0.15,-0.01,0.12,76.18592516570965,98.58411711353742,151.73137390544852,53.147256791911104,276.0,217.0,276.0,174.0,338.0,174.0,338.0,217.0,307.0,195.0,75.45197147855052,,640,480
0.15,0.0,0.12,80.0,98.77760954436249,151.87452426188213,53.09691471751963,266.0,218.0,263.0,176.0,325.0,173.0,328.0,215.0,295.0,195.0,74.2024258363566,,640,480
0.15,0.01,0.12,83.81407483429035,98.58411711353742,151.73137390544852,53.147256791911104,258.0,220.0,254.0,178.0,314.0,171.0,319.0,214.0,286.0,195.0,74.41102068914255,,640,480
0.15,0.02,0.12,87.59464336859145,98.00666927119644,151.30114035755793,53.29447108636149,246.0,224.0,238.0,183.0,298.0,170.0,307.0,212.0,272.0,197.0,74.96665925596525,,640,480
0.15,0.03,0.12,91.30993247402021,97.05411985044324,150.58151326540266,53.52739341495942,236.0,225.0,225.0,185.0,283.0,168.0,295.0,209.0,259.0,196.0,73.87827826905551,,640,480
0.15,0.04,0.12,94.93141717813755,95.74046806745588,149.56874872127253,53.828280653816634,227.0,223.0,213.0,184.0,269.0,165.0,284.0,204.0,248.0,194.0,71.61005515987263,,640,480
0.15,0.05,0.12,98.43494882292201,94.08380395514153,148.2577740429466,54.17397008780505,214.0,230.0,197.0,192.0,252.0,167.0,270.0,206.0,233.0,198.0,73.57309290766564,,640,480
0.15,0.06,0.12,101.80140948635182,92.10497830575517,146.6422365812282,54.537258275473015,203.0,227.0,184.0,191.0,238.0,163.0,258.0,200.0,220.0,195.0,72.94518489934754,,640,480
0.15,0.07,0.12,105.01689347810003,89.8261093982419,144.7144221506847,54.88831275244282,187.0,228.0,166.0,194.0,217.0,162.0,240.0,197.0,202.0,195.0,72.49827584156743,,640,480
0.15,0.08,0.12,108.07248693585296,87.26902978883984,142.46496844209707,55.195938653257244,177.0,229.0,154.0,196.0,204.0,161.0,228.0,196.0,190.0,195.0,73.16419889536138,,640,480
0.15,0.09,0.12,110.96375653207352,84.45374712679643,139.88229784182084,55.4285507150244,165.0,227.0,141.0,194.0,190.0,158.0,215.0,191.0,177.0,192.0,73.38937252763509,,640,480
0.15,0.1,0.12,113.6900675259798,81.39694562718014,136.9516808202597,55.55473519307953,150.0,233.0,122.0,202.0,168.0,161.0,197.0,193.0,159.0,197.0,74.21590126111789,,640,480
0.14,0.11,0.12,118.15722658736905,82.67343877744266,138.19150501649042,55.51806623904776,212.0,254.0,208.0,245.0,244.0,219.0,250.0,227.0,228.0,236.0,47.4236228055175,,640,480
0.13,0.12,0.12,122.70938995736148,83.31733000565684,138.8081780811752,55.49084807551837,212.0,254.0,208.0,245.0,244.0,219.0,250.0,227.0,228.0,236.0,47.4236228055175,,640,480
0.12,0.13,0.12,127.29061004263853,83.31733000565684,138.8081780811752,55.49084807551837,212.0,254.0,208.0,245.0,244.0,219.0,250.0,227.0,228.0,236.0,47.4236228055175,,640,480
